"KINDPATENT","Patent office","KINDREGION","Reference region","REGIONS","Regions","TECHNO","Total patents and by technologies","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","1998","1998","NBR","Number","0","Units",,,0.9167,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","1999","1999","NBR","Number","0","Units",,,2.5,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2000","2000","NBR","Number","0","Units",,,4,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2001","2001","NBR","Number","0","Units",,,1.8333,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2002","2002","NBR","Number","0","Units",,,0,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2003","2003","NBR","Number","0","Units",,,3,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2004","2004","NBR","Number","0","Units",,,3,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2005","2005","NBR","Number","0","Units",,,0.1667,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2006","2006","NBR","Number","0","Units",,,2.25,,
"EPO_A","Patent applications to the EPO","INVENTORS","Inventor(s)'s country(ies) of residence","FI200","Åland","TOTAL","Total Patents","2007","2007","NBR","Number","0","Units",,,1.3333,,
