city,cost
Hamilton,145.43
New York,100
San Francisco,97.84
Anchorage,94.99
Honolulu,94.15
Brooklyn,93.79
Rockville,92.66
Bloomington,92.14
Washington,91.94
Santa Rosa,90.23
Arlington,89.2
Bellevue,88.85
Seattle,88.04
Berkeley,87.82
Boston,87.05
Charleston,86.19
Miami,86.01
Oakland,85.11
New Haven,84.13
Irvine,83.73
Philadelphia,83.46
San Jose,82.87
Tacoma,82.54
Los Angeles,82.3
Boulder,82.19
Halifax,82.03
Thunder Bay,81.98
Portland,81.6
Minneapolis,81.46
Norfolk,81.36
Saskatoon,81.02
Hartford,80.86
Queens,80.77
Albany,80.19
Chicago,80.16
Jersey City,79.91
Olympia,79.25
Barrie,79.18
Santa Barbara,79.17
Eugene,78.94
Burlington,78.89
Sacramento,78.75
Pittsburgh,78.66
Portland,78.45
Saint Paul,78.37
Long Beach,78.23
Brampton,77.9
Fort Lauderdale,77.67
Everett,77.63
Asheville,77.36
Denver,77.31
Bellingham,77.13
Melbourne,77.09
San Diego,77.01
New Orleans,76.64
Orlando,76.63
Baltimore,76.57
Tampa,76.53
West Palm Beach,76.52
Calgary,76.44
Red Deer,76.15
Edmonton,76.01
Vancouver,75.59
Victoria,75.47
Colorado Springs,75.42
Charlotte,75.35
Plano,75.32
Toronto,75.22
Atlanta,74.97
Fayetteville,74.9
Kelowna,74.78
Indianapolis,74.72
Birmingham,74.64
Burlington,74.32
Augusta,74.29
Greensboro,74.1
Greenville,74.08
Jacksonville,73.58
Fort Collins,73.57
Cleveland,73.47
Milwaukee,73.37
Saint Petersburg,73.29
Memphis,72.95
Guelph,72.93
Syracuse,72.88
Waterloo,72.86
Regina,72.85
Newark,72.68
Akron,72.65
Mississauga,72.54
Austin,72.46
Fresno,72.36
Buffalo,72.15
Shreveport,72.07
Windsor,72
Nanaimo,71.9
Nashville,71.88
Moncton,71.79
Manchester,71.46
Raleigh,71.4
Little Rock,71.29
Winnipeg,71.22
Quebec City,71.21
Richmond,70.98
Las Vegas,70.97
Saint Louis,70.76
Grand Rapids,70.58
Rochester,70.52
Houston,70.37
Detroit,70.2
Ann Arbor,70.01
Ottawa,69.91
Harrisburg,69.91
Salem,69.81
Dayton,69.76
Columbia,69.7
Fort Wayne,69.42
London,69.39
Des Moines,69.37
Virginia Beach,69.33
Spokane,69.26
Bakersfield,69.2
Montreal,69.18
Gatineau,69.17
Columbus,69.13
Cincinnati,69.13
Kansas City,69.05
Lincoln,68.61
Fort Myers,68.06
Lexington,67.9
Fort Worth,67.81
Omaha,67.8
Vancouver,67.79
Surrey,67.37
Wichita,67.02
Lubbock,66.9
Chattanooga,66.89
Phoenix,66.87
Sioux Falls,66.85
Salt Lake City,66.76
Tulsa,66.71
Durham,66.44
Springfield,66.4
Winston-Salem,66.27
Dallas,65.94
Albuquerque,65.73
Arlington,65.63
Madison,65.6
Mobile,65.31
Hamilton,65.26
Louisville,65.14
Pensacola,64.88
Oklahoma City,64.29
Kitchener,63.9
Huntsville,63.34
Tucson,63
Reno,62.88
Boise,62.65
Knoxville,62.18
College Station,61.85
San Antonio,60.92
Athens,60.55
